location_stand,banking,bike_stands,available_bike_stands,available_bikes,status,date,time ,longitude,latitude,workingday,weather,Season,temp,humidity,windspeed
Mary street outside Mary Mall,FALSE,40,32,8,OPEN,03-01-2021,22:07:00,-6.267952323,53.348618,0,2,1,1.64,41,19.0012
Berkeley road outside Flanagans pharmacy,TRUE,40,40,0,OPEN,03-01-2021,22:07:00,-6.269868761,53.35896725,0,2,1,0.82,48,19.9995
Mayor street lower outside AIB,FALSE,30,0,30,OPEN,03-01-2021,22:07:00,-6.24368906,53.34900307,0,2,1,0.82,44,15.0013
George's Dock across the road from KPMG,FALSE,30,7,23,OPEN,03-01-2021,22:07:00,-6.24969855,53.34960348,0,1,1,0.82,44,19.0012
Suffolk street,FALSE,40,40,0,OPEN,03-01-2021,22:07:00,-6.260666102,53.34371105,0,1,1,0.82,44,22.0028
,FALSE,30,7,23,OPEN,03-01-2021,22:07:00,-6.261174381,53.3400639,0,1,1,1.64,41,16.9979
Westmoreland street,FALSE,20,14,6,OPEN,03-01-2021,22:07:00,-6.249374002,53.34383275,0,2,1,1.64,41,11.0014
Pearce street,FALSE,20,2,18,OPEN,03-01-2021,22:07:00,-6.255238652,53.34522827,0,2,1,2.46,38,8.9981
"Wolfe Tone Street, outside Alexanders bridal shop",FALSE,30,28,2,OPEN,03-01-2021,22:07:00,-6.267784685,53.34989648,0,2,1,2.46,38,7.0015
Start of kings inn street,FALSE,22,17,5,OPEN,03-01-2021,22:07:00,-6.268844157,53.3519178,0,1,1,3.28,35,0
"Jervis street, outside McDonolds.",FALSE,38,33,5,OPEN,03-01-2021,22:07:00,-6.266541481,53.34864922,0,1,1,4.1,33,7.0015
Camden street lower,TRUE,40,33,7,OPEN,03-01-2021,22:07:00,-6.26539886,53.33448808,0,1,1,4.92,28,0
High street,FALSE,27,26,1,OPEN,03-01-2021,22:07:00,-6.27489002,53.34357364,0,1,1,4.92,28,12.998
"York street, royal college of surgeons",FALSE,40,18,21,OPEN,03-01-2021,22:07:00,-6.263350993,53.33909021,0,1,1,4.92,28,0
Parnell street,FALSE,30,30,0,OPEN,03-01-2021,22:07:00,-6.268060952,53.34999014,0,1,1,3.28,35,12.998
Marlborough street outside eircom and kanoodle,FALSE,40,0,40,OPEN,03-01-2021,22:07:00,-6.259502023,53.35296244,0,1,1,3.28,35,8.9981
Parnell street outside euro giant,TRUE,30,14,16,OPEN,03-01-2021,22:07:00,-6.266872734,53.35033197,0,1,1,2.46,45,11.0014
Start of Summer hill,FALSE,20,17,3,OPEN,03-01-2021,22:07:00,-6.256611943,53.35440329,0,1,1,2.46,41,6.0032
"St. Stephens Green, outside oxfam and specsavers",TRUE,40,15,25,OPEN,03-01-2021,22:07:00,-6.26113683,53.34013196,0,1,1,2.46,49,0
"Parnell Street, outside Alexander's bridal shop",FALSE,40,30,10,OPEN,03-01-2021,22:07:00,-6.267641187,53.34997173,0,1,1,1.64,57,7.0015
Merrion square North,FALSE,36,24,12,OPEN,03-01-2021,22:07:00,-6.250421405,53.34094069,0,1,1,1.64,57,7.0015
Mount street lower opposite new mount house,TRUE,40,6,33,OPEN,04-01-2021,22:07:00,-6.243741363,53.33881395,0,1,1,1.64,57,7.0015
"Harcourt road, in front of regius building",FALSE,40,6,34,OPEN,04-01-2021,22:07:00,-6.263815016,53.33274144,0,1,1,0.82,62,8.9981
Mercer street outside DCC,FALSE,20,7,13,OPEN,04-01-2021,22:07:00,-6.264456064,53.33893887,0,1,1,0.82,62,8.9981
Marlborough street outside admiral restraunt,FALSE,40,24,16,OPEN,04-01-2021,22:07:00,-6.259013861,53.352234,0,2,1,1.64,57,7.0015
Eden Quay ooutside Liberty Hall,FALSE,40,40,0,OPEN,04-01-2021,22:07:00,-6.255112588,53.34845308,0,2,1,1.64,57,7.0015
Talbot Street outside Singer shop,FALSE,20,20,0,OPEN,04-01-2021,22:07:00,-6.254687458,53.35073224,0,1,1,3.28,58,11.0014
"York street, across from Dublinbike station",FALSE,30,9,21,OPEN,04-01-2021,22:07:00,-6.262134612,53.33883157,0,1,1,2.46,62,11.0014
Johnstons place outside pearls shop,FALSE,40,37,3,OPEN,04-01-2021,22:07:00,-6.263308078,53.34064683,0,1,1,4.1,54,23.9994
"Camden street lower, outside cracker nut cafe",TRUE,20,18,2,OPEN,04-01-2021,22:07:00,-6.26537472,53.33501182,0,1,1,5.74,46,26.0027
Blessignton street outside La Pausa cafe,TRUE,40,35,5,OPEN,04-01-2021,22:07:00,-6.265439093,53.35618587,0,1,1,5.74,43,15.0013
North circular road and belvidire road junction,TRUE,40,37,3,OPEN,04-01-2021,22:07:00,-6.259095669,53.35946908,0,1,1,6.56,37,31.0009
"Camden street lower, across from Fontana cafe",TRUE,20,13,7,OPEN,04-01-2021,22:07:00,-6.265355945,53.3351824,0,1,1,5.74,33,26.0027
Parnell square west,TRUE,40,37,3,OPEN,04-01-2021,22:07:00,-6.265075654,53.35358842,0,1,1,6.56,28,23.9994
Merrion street lower island,FALSE,16,11,5,OPEN,04-01-2021,22:07:00,-6.250158548,53.34184388,0,1,1,6.56,28,23.9994
Hatch street lower,TRUE,38,11,27,OPEN,04-01-2021,22:07:00,-6.256172061,53.3341197,0,1,1,6.56,26,22.0028
Capel street outside capel kebab and pizza house,FALSE,30,0,0,CLOSED,04-01-2021,22:07:00,-6.268229932,53.34716815,0,1,1,5.74,26,26.0027
Jervis street opposite TP Smiths,TRUE,16,1,15,OPEN,04-01-2021,22:07:00,-6.266204864,53.34744836,0,1,1,4.92,30,16.9979
Aaran quay outside bank of Ireland,FALSE,25,7,18,OPEN,04-01-2021,22:07:00,-6.27913177,53.34645482,0,1,1,4.92,30,19.0012
Grattan bridge ,FALSE,20,11,9,OPEN,04-01-2021,22:07:00,-6.267873198,53.34572226,0,1,1,4.1,36,16.9979
Parliament Street across from florentina restaurant,TRUE,40,15,25,OPEN,04-01-2021,22:07:00,-6.267226785,53.34433076,0,1,1,4.1,36,12.998
"Parliament street, outside subway ",FALSE,29,12,17,OPEN,04-01-2021,22:07:00,-6.267397106,53.34442924,0,1,1,3.28,38,12.998
Burgh quay,TRUE,35,22,13,OPEN,04-01-2021,22:07:00,-6.257717013,53.34716014,0,1,1,2.46,41,15.0013
Fatima luas stop,TRUE,40,35,5,OPEN,04-01-2021,22:07:00,-6.292895526,53.33847123,1,1,1,2.46,41,12.998
Phoenix street north,TRUE,23,2,21,OPEN,04-01-2021,22:07:00,-6.277207285,53.34695199,1,1,1,1.64,45,12.998
Merrion square east,FALSE,30,24,6,OPEN,05-01-2021,22:07:00,-6.246668994,53.33943693,1,1,1,1.64,45,16.9979
North kings street,TRUE,40,37,3,OPEN,05-01-2021,22:07:00,-6.270769984,53.35073624,1,1,1,0.82,48,8.9981
North kings streetboutside macro,FALSE,23,20,3,OPEN,05-01-2021,22:07:00,-6.270670742,53.35059775,1,1,1,0.82,48,8.9981
Fitzwilliam street lower,FALSE,40,32,8,OPEN,05-01-2021,22:07:00,-6.248680651,53.33709791,1,1,1,0.82,48,6.0032
Phisborough road opposite mc donalds,FALSE,20,17,3,OPEN,05-01-2021,22:07:00,-6.272837967,53.36211259,1,1,1,0.82,48,0
Middle abbey street ,FALSE,20,8,12,OPEN,05-01-2021,22:07:00,-6.262333095,53.34814966,1,1,1,1.64,49,0
Middle abbey street outside hidden hearing.,TRUE,21,14,7,OPEN,05-01-2021,22:07:00,-6.262656301,53.34799275,1,1,1,2.46,41,0
"Middle abbey street, outside celebration party shop.",TRUE,29,0,29,OPEN,05-01-2021,22:07:00,-6.260793507,53.3481929,1,1,1,4.1,42,0
St Stephen's green North,FALSE,40,36,4,OPEN,05-01-2021,22:07:00,-6.256654859,53.33898211,1,1,1,4.1,46,8.9981
,FALSE,30,28,2,OPEN,05-01-2021,22:07:00,-6.255034804,53.34144673,1,2,1,4.92,42,12.998
Sack like place,TRUE,20,18,2,OPEN,05-01-2021,22:07:00,-6.258557886,53.34909033,1,2,1,5.74,43,15.0013
Goldsworthy street outside Foxx Coffee House,FALSE,40,33,7,OPEN,05-01-2021,22:07:00,-6.257915497,53.34132102,1,2,1,5.74,46,15.0013
Lincoln Place,FALSE,40,16,24,OPEN,05-01-2021,22:07:00,-6.252296269,53.34185349,1,1,1,6.56,40,11.0014
Mount street upper,FALSE,30,7,23,OPEN,05-01-2021,22:07:00,-6.244401187,53.33711313,1,1,1,6.56,47,16.9979
Mount street lower opposite howl at the moon club,FALSE,30,1,29,OPEN,05-01-2021,22:07:00,-6.245165616,53.33927038,1,1,1,5.74,50,16.9979
Georges Quay,TRUE,30,1,29,OPEN,05-01-2021,22:40:00,-6.253649443,53.34738591,1,1,1,5.74,59,12.998
Grand canal docks,TRUE,20,20,0,OPEN,05-01-2021,22:40:00,-6.238718927,53.34301848,1,1,1,5.74,54,11.0014
Grand canal docks outside fresh,FALSE,33,30,3,OPEN,05-01-2021,22:40:00,-6.238583475,53.34339239,1,1,1,5.74,59,12.998
Blood stone road,FALSE,40,17,23,OPEN,05-01-2021,22:40:00,-6.236217767,53.34491682,1,1,1,5.74,63,11.0014
"Both wall quay, opposite the Spenser. ",FALSE,40,34,6,OPEN,05-01-2021,22:40:00,-6.24309361,53.3476477,1,2,1,5.74,63,15.0013
Sir john Robertson quay,FALSE,20,1,19,OPEN,05-01-2021,22:40:00,-6.2415272,53.34621063,1,2,1,6.56,64,16.9979
Start of Leinster street south,TRUE,30,26,4,OPEN,05-01-2021,22:40:00,-6.252639592,53.3417502,1,2,1,6.56,69,19.0012
Marlborough street opposite An Board Pleanala ,TRUE,30,13,17,OPEN,05-01-2021,22:40:00,-6.259177476,53.35260382,1,2,1,6.56,69,11.0014
Mount street lower outside board bia,FALSE,32,13,19,OPEN,05-01-2021,22:40:00,-6.240792274,53.3378138,1,1,1,6.56,69,15.0013
"Camden street lower, Infront of enable ireland",FALSE,40,12,28,OPEN,06-01-2021,22:40:00,-6.265382767,53.33482844,1,1,1,5.74,74,7.0015
North strand road,FALSE,30,20,10,OPEN,06-01-2021,22:40:00,-6.245928705,53.35520694,1,1,1,5.74,74,15.0013
Amiens street outside the funky skunk,TRUE,30,15,15,OPEN,06-01-2021,22:40:00,-6.248283684,53.35334747,1,1,1,6.56,74,7.0015
"Bolton Street, outside DIT",FALSE,40,36,4,OPEN,06-01-2021,22:40:00,-6.269626021,53.35134383,1,1,1,6.56,74,15.0013
Eden Quay outside Beresford Court,FALSE,20,19,1,OPEN,06-01-2021,22:40:00,-6.25492081,53.34901267,1,2,1,6.56,74,8.9981
Talbot street outside Guiney and co.,TRUE,40,18,22,OPEN,06-01-2021,22:40:00,-6.254671365,53.35066259,1,2,1,8.2,64,6.0032
Top of Parnell street outside Foleys pharmacy,FALSE,30,0,30,OPEN,06-01-2021,22:40:00,-6.258886456,53.3537389,1,2,1,9.02,60,7.0015
St Stephens green north outside permanent tsb,TRUE,30,4,26,OPEN,06-01-2021,22:40:00,-6.260423362,53.3399558,1,2,1,9.84,60,8.9981
Jervis Street outside Penny's,FALSE,40,40,0,OPEN,06-01-2021,22:40:00,-6.267024279,53.34998454,1,2,1,10.66,56,6.0032
"Wexford street, djinn shop, across the road from opium
",FALSE,30,24,6,OPEN,06-01-2021,22:40:00,-6.265439093,53.33662064,1,2,1,10.66,56,8.9981
"Aungier street, outside YMCA",TRUE,40,36,4,OPEN,06-01-2021,22:40:00,-6.266015768,53.3392936,1,2,1,12.3,45,0
Cathal Brugha street,FALSE,30,26,4,OPEN,06-01-2021,22:40:00,-6.25944972,53.35237568,1,2,1,13.12,42,0
Cathal Brugha Street outside DIT,TRUE,38,5,33,OPEN,06-01-2021,22:40:00,-6.259444356,53.35225641,1,2,1,13.12,42,0
"Camden street lower, Simon community shop,.",FALSE,30,23,7,OPEN,06-01-2021,22:40:00,-6.26539886,53.33423822,1,1,1,12.3,45,0
Coppinger row,FALSE,40,38,2,OPEN,06-01-2021,22:40:00,-6.262373328,53.34211691,1,2,1,12.3,49,6.0032
Parnell street outside Centra ,FALSE,30,27,3,OPEN,06-01-2021,22:40:00,-6.263774782,53.35127979,1,2,1,10.66,65,11.0014
Start of st. Stephen's Green terrace. ,FALSE,20,7,13,OPEN,06-01-2021,22:40:00,-6.257439405,53.3362755,1,1,1,9.84,65,12.998
"Pembroke street lower, opposite coffee angel.",FALSE,30,2,28,OPEN,06-01-2021,22:40:00,-6.25215143,53.33690652,1,1,1,9.84,65,12.998
"O'Connell street, median, behind Sir John Gray monument",TRUE,40,37,3,OPEN,06-01-2021,22:40:00,-6.259725988,53.34860279,1,1,1,9.02,64,11.0014
South Circular road tesco,FALSE,31,21,10,OPEN,06-01-2021,22:40:00,-6.274455339,53.33232339,1,2,1,9.02,64,11.0014
"Essex street east, outside the Clarence hotel",FALSE,35,35,0,OPEN,06-01-2021,22:40:00,-6.266537458,53.34511458,1,2,1,9.02,69,8.9981
The coombe outside ovenden house. ,TRUE,40,40,0,OPEN,06-01-2021,22:40:00,-6.273295283,53.33919831,1,2,1,9.84,65,8.9981
"College green, median",FALSE,30,10,20,OPEN,06-01-2021,22:40:00,-6.260206103,53.34439721,1,3,1,9.02,69,12.998
North king street,FALSE,30,28,2,OPEN,06-01-2021,22:40:00,-6.2726596,53.35032477,1,3,1,8.2,86,19.0012
End of Adelaide road beside kiosk,FALSE,24,0,24,OPEN,07-01-2021,22:40:00,-6.253476441,53.3323394,1,3,1,8.2,86,19.0012
Start of Fitzwilliam square north,FALSE,40,11,29,OPEN,07-01-2021,22:40:00,-6.250662804,53.33551714,1,3,1,9.02,87,19.9995
"Middle abbey street,  outside independent house newspaper limited.",FALSE,36,33,3,OPEN,07-01-2021,22:40:00,-6.261388958,53.34824573,1,3,1,9.02,87,19.9995
"Middle abbey street, outside austrailia travel.",FALSE,40,33,7,OPEN,07-01-2021,22:40:00,-6.263314784,53.34790949,1,3,1,9.02,87,19.9995
Grand canal street lower,FALSE,40,37,3,OPEN,07-01-2021,22:40:00,-6.241157055,53.33936646,1,3,1,9.02,93,19.0012
Mount street lower opposite new mount house,TRUE,40,38,2,OPEN,07-01-2021,22:40:00,-6.244124919,53.33894527,1,3,1,9.02,93,22.0028
D'Oliver street,TRUE,25,6,19,OPEN,07-01-2021,22:40:00,-6.258493513,53.34681028,1,3,1,9.02,93,22.0028
Foley street outside dance Irelamd,FALSE,29,14,15,OPEN,07-01-2021,22:40:00,-6.252858192,53.35146871,1,3,1,9.02,93,22.0028
Blood stone road,FALSE,30,23,7,OPEN,07-01-2021,22:40:00,-6.235854328,53.34555893,1,3,1,9.02,93,23.9994
Mayor square outside Snap and national college of Ireland.,FALSE,20,1,19,OPEN,07-01-2021,22:40:00,-6.24304533,53.34893742,1,3,1,9.02,93,31.0009
"Fade street, outside the rage record store",FALSE,40,36,4,OPEN,07-01-2021,22:40:00,-6.263821721,53.34194797,1,4,1,9.02,93,22.0028
Hume street,FALSE,30,19,11,OPEN,07-01-2021,22:40:00,-6.255581975,53.33800839,1,3,1,8.2,93,23.9994
Wolfe tone street,TRUE,29,19,10,OPEN,07-01-2021,22:40:00,-6.267700195,53.34936332,1,1,1,9.02,55,12.998
Wolfe tone street outside AXA office,FALSE,30,5,20,OPEN,07-01-2021,22:40:00,-6.26718387,53.34796313,1,1,1,9.02,55,7.0015
Coppinger row ,FALSE,40,37,3,OPEN,07-01-2021,22:40:00,-6.261603534,53.34194076,1,1,1,8.2,69,6.0032
Saclville Place,FALSE,40,4,36,OPEN,07-01-2021,22:40:00,-6.258242726,53.34913596,1,1,1,8.2,69,6.0032
Trinity street,FALSE,40,40,0,OPEN,07-01-2021,22:40:00,-6.26198709,53.34380633,1,1,1,7.38,74,6.0032
Pearce street opposite parser square,TRUE,40,33,7,OPEN,07-01-2021,22:40:00,-6.242224574,53.3428079,1,1,1,7.38,74,6.0032
Parnell street outside cineworld.,FALSE,40,32,8,OPEN,07-01-2021,22:40:00,-6.267755181,53.350079,1,1,1,7.38,74,6.0032
"Abbey Street Lower, outside Abbey Theatre.",TRUE,40,40,0,OPEN,07-01-2021,22:40:00,-6.256624013,53.34880213,1,1,1,7.38,80,11.0014
Abbey Street Lower outside Beresford Court.,FALSE,30,0,30,OPEN,07-01-2021,22:40:00,-6.255399585,53.34901748,1,2,1,8.2,75,8.9981
Pearce street and Townsend street,FALSE,30,5,25,OPEN,07-01-2021,22:40:00,-6.256809086,53.34580232,1,2,1,8.2,75,8.9981
"Stephens green, in front of beneton shop",FALSE,40,40,0,OPEN,07-01-2021,22:40:00,-6.260926276,53.3398373,1,2,1,8.2,75,11.0014
East wall road outside the O2 ,FALSE,30,7,23,OPEN,07-01-2021,22:40:00,-6.227487177,53.34842026,1,2,1,8.2,75,7.0015
"Bedford row, beside Ladbrokes",FALSE,20,14,6,OPEN,08-01-2021,22:40:00,-6.261851639,53.34615699,1,2,1,7.38,80,7.0015
Talbot Street outside Carrolls shop,FALSE,20,1,19,OPEN,08-01-2021,22:40:00,-6.2569727,53.35029835,1,2,1,7.38,80,8.9981
"Fleet Street, outside TGI restaurant.",FALSE,30,28,2,OPEN,08-01-2021,22:40:00,-6.259736717,53.34583434,1,2,1,6.56,86,6.0032
"Aston quay, outside house of colour",FALSE,22,16,6,OPEN,08-01-2021,22:40:00,-6.262689829,53.34607693,1,2,1,6.56,86,6.0032
Harcourt street outside Starbucks ,FALSE,38,34,4,OPEN,08-01-2021,22:40:00,-6.262397468,53.3327959,1,3,1,7.38,86,6.0032
"New bride street , Infront of small green",TRUE,40,34,6,OPEN,08-01-2021,22:40:00,-6.269115061,53.33779779,1,3,1,7.38,86,7.0015
Mount street ctescent,FALSE,27,26,1,OPEN,08-01-2021,22:40:00,-6.243086904,53.33666389,1,3,1,7.38,93,7.0015
Beresford Place median,FALSE,40,23,16,OPEN,08-01-2021,22:40:00,-6.254668683,53.34915197,1,3,1,7.38,93,7.0015
Kevin's street outside o haras pharmacy,FALSE,30,30,0,OPEN,08-01-2021,22:40:00,-6.266076118,53.33774334,1,3,1,7.38,93,7.0015
Dorset street outside gaa ticket office ,FALSE,40,1,39,OPEN,08-01-2021,22:40:00,-6.260073334,53.36081366,1,3,1,9.02,80,0
"Wexford street, Infront of mega bikes.",TRUE,30,14,16,OPEN,08-01-2021,22:40:00,-6.265628189,53.33737258,1,2,1,8.2,86,0
"Camden street lower, outside ulster bank",FALSE,20,18,2,OPEN,08-01-2021,22:40:00,-6.265334487,53.33563406,1,1,1,9.02,80,0
Mountjoy square south outside dit,TRUE,40,16,24,OPEN,08-01-2021,22:40:00,-6.256683022,53.35602898,1,1,1,9.84,75,8.9981
"Noel Purcell Walk, Infront of beaux lane house",FALSE,40,30,10,OPEN,08-01-2021,22:40:00,-6.26425758,53.34045385,1,1,1,9.84,75,12.998
"Chatham road, outside Mao restaurant",FALSE,36,26,10,OPEN,08-01-2021,22:40:00,-6.26260668,53.34104558,1,2,1,9.84,75,8.9981
"William street south, outside dada restautsnt",TRUE,40,5,34,OPEN,08-01-2021,22:40:00,-6.263074726,53.34134584,1,2,1,9.84,70,12.998
Saint Andrew street,FALSE,40,6,34,OPEN,08-01-2021,22:40:00,-6.261555254,53.34365901,1,2,1,9.02,75,8.9981
"South George's street, outside Diwali",FALSE,20,4,16,OPEN,08-01-2021,22:40:00,-6.264543235,53.34274625,1,1,1,9.84,65,23.9994
"George's street, outside Hogans pub",FALSE,40,21,19,OPEN,08-01-2021,22:40:00,-6.264674664,53.34206327,1,1,1,9.84,60,15.0013
Berkeley road outside Berkeley wash,FALSE,40,40,0,OPEN,08-01-2021,22:40:00,-6.269145906,53.35812925,0,1,1,9.02,64,23.9994
Cathal Brugha street outside the Irish aid office,FALSE,20,18,2,OPEN,08-01-2021,22:40:00,-6.26068756,53.35209391,0,1,1,9.02,64,12.998
Cork street,FALSE,30,9,20,OPEN,08-01-2021,22:40:00,-6.290507019,53.33420699,0,1,1,9.02,64,11.0014
"Camden street lower, Infront of icon health store. ",FALSE,40,37,3,OPEN,08-01-2021,22:40:00,-6.265275478,53.33621064,0,1,1,8.2,64,8.9981
"Drury street, outside Carousel",TRUE,20,20,0,OPEN,08-01-2021,22:40:00,-6.262984872,53.34294562,0,1,1,6.56,69,7.0015
Drury street outside Irish design shop,TRUE,40,34,6,OPEN,09-01-2021,22:40:00,-6.263002306,53.34274225,0,1,1,6.56,64,8.9981
